Month,MCS Certified Installations Total,
Jan-09,2,
Feb-09,1,
Mar-09,1,
Apr-09,0,
May-09,1,
Jun-09,0,
Jul-09,69,
Aug-09,109,
Sep-09,114,
Oct-09,136,
Nov-09,142,
Dec-09,428,
Jan-10,159,
Feb-10,153,
Mar-10,322,
Apr-10,316,
May-10,299,
Jun-10,305,
Jul-10,374,
Aug-10,305,
Sep-10,560,
Oct-10,737,
Nov-10,572,
Dec-10,433,
Jan-11,454,
Feb-11,477,
Mar-11,806,
Apr-11,393,
May-11,359,
Jun-11,504,
Jul-11,420,
Aug-11,643,
Sep-11,630,
Oct-11,689,
Nov-11,854,
Dec-11,755,
Jan-12,865,
Feb-12,1043,
Mar-12,1850,
Apr-12,435,
May-12,593,
Jun-12,532,
Jul-12,602,
Aug-12,570,
Sep-12,694,
Oct-12,1084,
Nov-12,1326,
Dec-12,1223,
Jan-13,892,
Feb-13,1024,
Mar-13,1904,
Apr-13,608,
May-13,623,
Jun-13,606,
Jul-13,526,
Aug-13,548,
Sep-13,1325,
Oct-13,1494,
Nov-13,1002,
Dec-13,672,
Jan-14,928,
Feb-14,1122,
Mar-14,1439,
Apr-14,469,
May-14,724,
Jun-14,885,
Jul-14,693,
Aug-14,583,
Sep-14,687,
Oct-14,896,
Nov-14,959,
Dec-14,671,
Jan-15,885,
Feb-15,900,
Mar-15,1189,
Apr-15,907,
May-15,837,
Jun-15,945,
Jul-15,785,
Aug-15,733,
Sep-15,1012,
Oct-15,1180,
Nov-15,1023,
Dec-15,793,
Jan-16,848,
Feb-16,1088,
Mar-16,1222,
Apr-16,737,
May-16,599,
Jun-16,692,
Jul-16,577,
Aug-16,591,
Sep-16,698,
Oct-16,690,
Nov-16,737,
Dec-16,791,
Jan-17,628,
Feb-17,874,
Mar-17,1141,
Apr-17,733,
May-17,809,
Jun-17,682,
Jul-17,750,
Aug-17,676,
Sep-17,1138,
Oct-17,782,
Nov-17,873,
Dec-17,753,
Jan-18,795,
Feb-18,762,
Mar-18,882,
Apr-18,891,
May-18,876,
Jun-18,807,
Jul-18,923,
Aug-18,939,
Sep-18,1038,
Oct-18,1100,
Nov-18,1358,
Dec-18,963,
Jan-19,869,
Feb-19,1038,
Mar-19,1268,
Apr-19,1014,
May-19,1091,
Jun-19,992,
Jul-19,1105,
Aug-19,1111,
Sep-19,1230,
Oct-19,1391,
Nov-19,1399,
Dec-19,1279,
Jan-20,1314,
Feb-20,1512,
Mar-20,1344,
Apr-20,439,
May-20,480,
Jun-20,938,
Jul-20,1241,
Aug-20,1089,
Sep-20,1555,
Oct-20,1741,
Nov-20,1975,
Dec-20,1645,
Jan-21,1745,
Feb-21,2085,
Mar-21,2908,
Apr-21,2278,
May-21,2420,
Jun-21,2484,
Jul-21,2442,
Aug-21,2278,
Sep-21,2823,
Oct-21,2619,
Nov-21,3163,
Dec-21,2263,
Jan-22,2631,
Feb-22,3805,
Mar-22,7775,
Apr-22,1153,
May-22,1422,
Jun-22,1549,
Jul-22,1891,
Aug-22,2173,
Sep-22,2507,
Oct-22,2815,
Nov-22,2991,
Dec-22,2219,
Jan-23,2778,
Feb-23,2945,
Mar-23,3618,
Apr-23,2770,
May-23,3176,
Jun-23,3467,
Jul-23,3315,
Aug-23,3487,
Sep-23,3554,
Oct-23,3561,
Nov-23,4431,
Dec-23,3327,
Jan-24,4058,
Feb-24,4382,
Mar-24,4597,
Apr-24,4561,
May-24,5083,
Jun-24,4637,
Jul-24,5046,
Aug-24,4846,
Sep-24,4992,
Oct-24,5880,
Nov-24,5894,
Dec-24,4102,
Jan-25,4955,
Feb-25,5209,
Mar-25,5641,
Apr-25,4721,
May-25,5162,
Jun-25,5044,
Jul-25,5209,
Aug-25,4801,
Sep-25,5361,
Oct-25,5849,
Nov-25,5197,
Dec-25,4079,
Jan-26,4119,
Feb-26,4210,
Mar-26,4408,
Apr-26,3370,
May-26,245,
