Month,MCS Certified Installations Total,
Jan-09,2,
Feb-09,0,
Mar-09,0,
Apr-09,0,
May-09,0,
Jun-09,0,
Jul-09,27,
Aug-09,37,
Sep-09,43,
Oct-09,52,
Nov-09,80,
Dec-09,83,
Jan-10,68,
Feb-10,54,
Mar-10,137,
Apr-10,156,
May-10,129,
Jun-10,142,
Jul-10,215,
Aug-10,177,
Sep-10,369,
Oct-10,476,
Nov-10,388,
Dec-10,251,
Jan-11,275,
Feb-11,321,
Mar-11,517,
Apr-11,313,
May-11,243,
Jun-11,373,
Jul-11,289,
Aug-11,475,
Sep-11,496,
Oct-11,477,
Nov-11,542,
Dec-11,560,
Jan-12,621,
Feb-12,807,
Mar-12,1373,
Apr-12,341,
May-12,434,
Jun-12,432,
Jul-12,468,
Aug-12,440,
Sep-12,600,
Oct-12,845,
Nov-12,1008,
Dec-12,1003,
Jan-13,754,
Feb-13,905,
Mar-13,1623,
Apr-13,533,
May-13,526,
Jun-13,544,
Jul-13,452,
Aug-13,471,
Sep-13,1243,
Oct-13,1346,
Nov-13,875,
Dec-13,551,
Jan-14,762,
Feb-14,863,
Mar-14,1206,
Apr-14,413,
May-14,654,
Jun-14,772,
Jul-14,596,
Aug-14,484,
Sep-14,576,
Oct-14,758,
Nov-14,808,
Dec-14,535,
Jan-15,742,
Feb-15,747,
Mar-15,994,
Apr-15,676,
May-15,663,
Jun-15,792,
Jul-15,656,
Aug-15,582,
Sep-15,875,
Oct-15,979,
Nov-15,872,
Dec-15,644,
Jan-16,686,
Feb-16,836,
Mar-16,947,
Apr-16,595,
May-16,462,
Jun-16,551,
Jul-16,475,
Aug-16,485,
Sep-16,602,
Oct-16,564,
Nov-16,624,
Dec-16,656,
Jan-17,538,
Feb-17,734,
Mar-17,861,
Apr-17,591,
May-17,681,
Jun-17,554,
Jul-17,624,
Aug-17,592,
Sep-17,879,
Oct-17,686,
Nov-17,752,
Dec-17,632,
Jan-18,694,
Feb-18,650,
Mar-18,768,
Apr-18,666,
May-18,661,
Jun-18,628,
Jul-18,723,
Aug-18,819,
Sep-18,870,
Oct-18,967,
Nov-18,1152,
Dec-18,802,
Jan-19,777,
Feb-19,891,
Mar-19,1134,
Apr-19,904,
May-19,956,
Jun-19,860,
Jul-19,946,
Aug-19,934,
Sep-19,1067,
Oct-19,1171,
Nov-19,1241,
Dec-19,1120,
Jan-20,1187,
Feb-20,1226,
Mar-20,1138,
Apr-20,373,
May-20,374,
Jun-20,801,
Jul-20,1048,
Aug-20,940,
Sep-20,1353,
Oct-20,1455,
Nov-20,1567,
Dec-20,1328,
Jan-21,1365,
Feb-21,1556,
Mar-21,2223,
Apr-21,2098,
May-21,2268,
Jun-21,2298,
Jul-21,2108,
Aug-21,2115,
Sep-21,2604,
Oct-21,2403,
Nov-21,2804,
Dec-21,2006,
Jan-22,2295,
Feb-22,3162,
Mar-22,6333,
Apr-22,1004,
May-22,1389,
Jun-22,1415,
Jul-22,1799,
Aug-22,2082,
Sep-22,2413,
Oct-22,2635,
Nov-22,2814,
Dec-22,2167,
Jan-23,2570,
Feb-23,2669,
Mar-23,3253,
Apr-23,2680,
May-23,2991,
Jun-23,3069,
Jul-23,2993,
Aug-23,3200,
Sep-23,3355,
Oct-23,3418,
Nov-23,4299,
Dec-23,3227,
Jan-24,3816,
Feb-24,4303,
Mar-24,4425,
Apr-24,4406,
May-24,4951,
Jun-24,4488,
Jul-24,4900,
Aug-24,4738,
Sep-24,4875,
Oct-24,5784,
Nov-24,5776,
Dec-24,4002,
Jan-25,4873,
Feb-25,5160,
Mar-25,5512,
Apr-25,4657,
May-25,5103,
Jun-25,4964,
Jul-25,5132,
Aug-25,4765,
Sep-25,5272,
Oct-25,5780,
Nov-25,5139,
Dec-25,4010,
Jan-26,4050,
Feb-26,4127,
Mar-26,4298,
Apr-26,3314,
May-26,238,
