Month,MCS Certified Installations Total,
Jan-09,0,
Feb-09,1,
Mar-09,1,
Apr-09,0,
May-09,1,
Jun-09,0,
Jul-09,42,
Aug-09,72,
Sep-09,71,
Oct-09,84,
Nov-09,62,
Dec-09,345,
Jan-10,91,
Feb-10,99,
Mar-10,182,
Apr-10,160,
May-10,170,
Jun-10,163,
Jul-10,146,
Aug-10,122,
Sep-10,189,
Oct-10,259,
Nov-10,183,
Dec-10,182,
Jan-11,157,
Feb-11,156,
Mar-11,286,
Apr-11,80,
May-11,115,
Jun-11,103,
Jul-11,102,
Aug-11,156,
Sep-11,134,
Oct-11,208,
Nov-11,259,
Dec-11,182,
Jan-12,242,
Feb-12,221,
Mar-12,461,
Apr-12,76,
May-12,138,
Jun-12,83,
Jul-12,119,
Aug-12,107,
Sep-12,93,
Oct-12,239,
Nov-12,318,
Dec-12,220,
Jan-13,131,
Feb-13,117,
Mar-13,280,
Apr-13,75,
May-13,97,
Jun-13,62,
Jul-13,74,
Aug-13,77,
Sep-13,82,
Oct-13,148,
Nov-13,123,
Dec-13,121,
Jan-14,134,
Feb-14,202,
Mar-14,233,
Apr-14,56,
May-14,70,
Jun-14,113,
Jul-14,97,
Aug-14,98,
Sep-14,111,
Oct-14,138,
Nov-14,150,
Dec-14,136,
Jan-15,143,
Feb-15,149,
Mar-15,195,
Apr-15,231,
May-15,174,
Jun-15,153,
Jul-15,129,
Aug-15,151,
Sep-15,137,
Oct-15,200,
Nov-15,151,
Dec-15,149,
Jan-16,162,
Feb-16,252,
Mar-16,275,
Apr-16,142,
May-16,137,
Jun-16,140,
Jul-16,102,
Aug-16,106,
Sep-16,96,
Oct-16,126,
Nov-16,113,
Dec-16,135,
Jan-17,90,
Feb-17,140,
Mar-17,280,
Apr-17,142,
May-17,128,
Jun-17,128,
Jul-17,126,
Aug-17,84,
Sep-17,259,
Oct-17,96,
Nov-17,121,
Dec-17,121,
Jan-18,101,
Feb-18,112,
Mar-18,114,
Apr-18,225,
May-18,215,
Jun-18,179,
Jul-18,200,
Aug-18,120,
Sep-18,168,
Oct-18,133,
Nov-18,206,
Dec-18,161,
Jan-19,92,
Feb-19,147,
Mar-19,134,
Apr-19,110,
May-19,135,
Jun-19,132,
Jul-19,159,
Aug-19,177,
Sep-19,163,
Oct-19,219,
Nov-19,158,
Dec-19,159,
Jan-20,127,
Feb-20,286,
Mar-20,206,
Apr-20,66,
May-20,106,
Jun-20,137,
Jul-20,193,
Aug-20,149,
Sep-20,202,
Oct-20,286,
Nov-20,408,
Dec-20,317,
Jan-21,380,
Feb-21,529,
Mar-21,685,
Apr-21,180,
May-21,152,
Jun-21,186,
Jul-21,334,
Aug-21,163,
Sep-21,219,
Oct-21,216,
Nov-21,359,
Dec-21,257,
Jan-22,335,
Feb-22,643,
Mar-22,1442,
Apr-22,149,
May-22,31,
Jun-22,134,
Jul-22,92,
Aug-22,91,
Sep-22,94,
Oct-22,180,
Nov-22,177,
Dec-22,52,
Jan-23,208,
Feb-23,276,
Mar-23,364,
Apr-23,90,
May-23,185,
Jun-23,398,
Jul-23,322,
Aug-23,287,
Sep-23,198,
Oct-23,143,
Nov-23,132,
Dec-23,100,
Jan-24,242,
Feb-24,79,
Mar-24,172,
Apr-24,154,
May-24,132,
Jun-24,148,
Jul-24,145,
Aug-24,106,
Sep-24,115,
Oct-24,95,
Nov-24,118,
Dec-24,96,
Jan-25,81,
Feb-25,43,
Mar-25,108,
Apr-25,56,
May-25,57,
Jun-25,69,
Jul-25,72,
Aug-25,33,
Sep-25,86,
Oct-25,56,
Nov-25,53,
Dec-25,67,
Jan-26,68,
Feb-26,80,
Mar-26,110,
Apr-26,52,
May-26,7,
