Area Codes,Country or Region,County or Unitary Authority,Local Authority Districts,"2022/23:
Heat pump technologies [note 24]","2023/24:
Heat pump technologies [note 24]","2024/25:
Heat pump technologies [note 24]","2025/26:
Heat pump technologies [note 24]",,,
K04000001,England and Wales,,,9840,13735,25111,31018,,,
E92000001,England,,,9265,13040,24091,29350,,,
E12000001,North East,,,257,360,750,982,,,
E06000047,,County Durham,,58,86,178,234,,,
E06000005,,Darlington,,7,16,50,41,,,
E06000001,,Hartlepool,,5,7,22,34,,,
E06000002,,Middlesbrough,,5,8,21,36,,,
E06000057,,Northumberland,,100,125,196,245,,,
E06000003,,Redcar and Cleveland,,15,18,34,44,,,
E06000004,,Stockton-on-Tees,,11,13,55,54,,,
E11000007,,Tyne and Wear (Met County),,56,87,194,294,,,
E08000037,,,Gateshead,8,13,28,54,,,
E08000021,,,Newcastle upon Tyne,18,22,65,100,,,
E08000022,,,North Tyneside,18,21,50,63,,,
E08000023,,,South Tyneside,6,9,15,15,,,
E08000024,,,Sunderland,6,22,36,62,,,
E12000002,North West,,,732,1046,2168,2511,,,
E06000008,,Blackburn with Darwen,,[c2],8,[c2],31,,,
E06000009,,Blackpool,,[c1],0,[c2],25,,,
E06000049,,Cheshire East,,109,114,245,282,,,
E06000050,,Cheshire West and Chester,,103,107,196,227,,,
E06000063,,Cumberland [note 22],,43,80,131,135,,,
E06000006,,Halton,,7,11,25,25,,,
E06000007,,Warrington,,22,32,70,68,,,
E06000064,,Westmorland and Furness [note 21],,84,126,268,263,,,
E11000001,,Greater Manchester (Met County),,153,255,534,648,,,
E08000001,,,Bolton,9,32,47,43,,,
E08000002,,,Bury,15,14,40,59,,,
E08000003,,,Manchester,24,37,103,112,,,
E08000004,,,Oldham ,11,15,29,30,,,
E08000005,,,Rochdale,15,15,40,40,,,
E08000006,,,Salford,9,19,45,63,,,
E08000007,,,Stockport,30,51,79,92,,,
E08000008,,,Tameside,6,16,31,41,,,
E08000009,,,Trafford,23,38,53,97,,,
E08000010,,,Wigan,11,18,67,71,,,
E10000017,,Lancashire ,,135,233,424,530,,,
E07000117,,,Burnley,[c1],[c2],15,8,,,
E07000118,,,Chorley,20,37,60,68,,,
E07000119,,,Fylde,10,15,23,24,,,
E07000120,,,Hyndburn,[c2],[c1],15,13,,,
E07000121,,,Lancaster,14,26,67,83,,,
E07000122,,,Pendle,[c1],[c2],23,20,,,
E07000123,,,Preston,13,22,43,46,,,
E07000124,,,Ribble Valley,18,22,36,54,,,
E07000125,,,Rossendale,7,18,22,22,,,
E07000126,,,South Ribble,14,34,43,62,,,
E07000127,,,West Lancashire,15,16,41,79,,,
E07000128,,,Wyre,15,20,36,51,,,
E11000002,,Merseyside (Met County),,67,80,232,277,,,
E08000011,,,Knowsley ,7,11,20,22,,,
E08000012,,,Liverpool,8,10,56,67,,,
E08000014,,,Sefton,15,25,51,58,,,
E08000013,,,St. Helens,8,11,40,37,,,
E08000015,,,Wirral,29,23,65,93,,,
E12000003,Yorkshire and the Humber,,,1045,1302,2339,2602,,,
E06000011,,East Riding of Yorkshire,,107,127,242,237,,,
E06000010,,"Kingston upon Hull, City of",,19,21,37,35,,,
E06000012,,North East Lincolnshire,,24,38,64,73,,,
E06000013,,North Lincolnshire,,40,53,89,93,,,
E06000065,,North Yorkshire [note 22],,296,381,590,661,,,
E06000014,,York,,50,77,116,132,,,
E11000003,,South Yorkshire (Met County),,192,247,511,536,,,
E08000038,,,Barnsley,27,30,71,121,,,
E08000017,,,Doncaster,53,54,118,128,,,
E08000018,,,Rotherham ,31,47,94,95,,,
E08000039,,,Sheffield,81,116,228,192,,,
E11000006,,West Yorkshire (Met County),,317,358,690,835,,,
E08000032,,,Bradford,64,81,113,160,,,
E08000033,,,Calderdale,37,44,76,97,,,
E08000034,,,Kirklees ,70,75,155,172,,,
E08000035,,,Leeds,103,114,241,269,,,
E08000036,,,Wakefield,43,44,105,137,,,
E12000004,East Midlands,,,1035,1344,2522,2971,,,
E06000015,,Derby,,19,27,80,100,,,
E06000016,,Leicester,,14,35,37,54,,,
E06000061,,North Northamptonshire [note 18],,80,84,159,181,,,
E06000018,,Nottingham,,40,43,40,74,,,
E06000017,,Rutland,,16,25,27,46,,,
E06000062,,West Northamptonshire [note 19],,102,116,219,254,,,
E10000007,,Derbyshire ,,185,259,496,567,,,
E07000032,,,Amber Valley,30,44,69,104,,,
E07000033,,,Bolsover,9,24,44,43,,,
E07000034,,,Chesterfield,14,13,35,49,,,
E07000035,,,Derbyshire Dales,42,52,99,114,,,
E07000036,,,Erewash,17,14,42,51,,,
E07000037,,,High Peak,23,36,61,68,,,
E07000038,,,North East Derbyshire,24,44,58,72,,,
E07000039,,,South Derbyshire,26,32,88,66,,,
E10000018,,Leicestershire ,,126,206,394,487,,,
E07000129,,,Blaby,[c2],[c2],50,41,,,
E07000130,,,Charnwood,31,41,74,96,,,
E07000131,,,Harborough,26,51,78,101,,,
E07000132,,,Hinckley and Bosworth,18,29,63,81,,,
E07000133,,,Melton,19,31,43,62,,,
E07000134,,,North West Leicestershire,14,31,73,89,,,
E07000135,,,Oadby and Wigston,[c2],[c1],13,17,,,
E10000019,,Lincolnshire,,267,297,578,657,,,
E07000136,,,Boston,11,16,23,29,,,
E07000137,,,East Lindsey,68,64,153,151,,,
E07000138,,,Lincoln,17,14,36,35,,,
E07000139,,,North Kesteven,34,66,103,152,,,
E07000140,,,South Holland,26,35,51,62,,,
E07000141,,,South Kesteven,49,53,108,111,,,
E07000142,,,West Lindsey,62,49,104,117,,,
E10000024,,Nottinghamshire ,,186,252,492,551,,,
E07000170,,,Ashfield,20,24,55,50,,,
E07000171,,,Bassetlaw,40,48,102,124,,,
E07000172,,,Broxtowe,22,19,53,75,,,
E07000173,,,Gedling,21,32,50,54,,,
E07000174,,,Mansfield,10,18,23,38,,,
E07000175,,,Newark and Sherwood,37,64,124,99,,,
E07000176,,,Rushcliffe,36,47,85,111,,,
E12000005,West Midlands,,,713,1089,1925,2259,,,
E06000019,,"Herefordshire, County of",,102,145,169,221,,,
E06000051,,Shropshire,,135,189,283,303,,,
E06000021,,Stoke-on-Trent,,12,15,51,40,,,
E06000020,,Telford and Wrekin,,11,26,63,77,,,
E10000028,,Staffordshire ,,136,214,353,424,,,
E07000192,,,Cannock Chase,8,7,12,31,,,
E07000193,,,East Staffordshire,27,36,58,70,,,
E07000194,,,Lichfield,19,23,48,62,,,
E07000195,,,Newcastle-under-Lyme,14,34,49,52,,,
E07000196,,,South Staffordshire,14,36,40,46,,,
E07000197,,,Stafford,23,42,74,97,,,
E07000198,,,Staffordshire Moorlands,26,26,52,50,,,
E07000199,,,Tamworth,5,10,20,16,,,
E10000031,,Warwickshire,,127,150,340,425,,,
E07000218,,,North Warwickshire,15,11,28,23,,,
E07000219,,,Nuneaton and Bedworth,8,6,41,35,,,
E07000220,,,Rugby,12,26,61,80,,,
E07000221,,,Stratford-on-Avon,67,80,129,163,,,
E07000222,,,Warwick,25,27,81,124,,,
E11000005,,West Midlands (Met County),,100,182,342,415,,,
E08000025,,,Birmingham,35,68,115,127,,,
E08000026,,,Coventry,12,23,59,85,,,
E08000027,,,Dudley ,9,13,32,48,,,
E08000028,,,Sandwell ,8,13,41,37,,,
E08000029,,,Solihull,15,33,49,63,,,
E08000030,,,Walsall,11,19,29,31,,,
E08000031,,,Wolverhampton,10,13,17,24,,,
E10000034,,Worcestershire ,,90,168,324,354,,,
E07000234,,,Bromsgrove,9,19,49,46,,,
E07000235,,,Malvern Hills,21,42,85,113,,,
E07000236,,,Redditch,[c1],[c2],15,24,,,
E07000237,,,Worcester,[c2],[c2],43,27,,,
