areaONSCode,areaName,installationCount,installationPercentage,offGasGridPercentage,areaTypeAverageOffGasGridPercentage,fuelPovertyPercentage,areaTypeAverageFuelPovertyPercentage,urbanPercentage,areaTypeAverageUrbanPercentage,gdhi,areaTypeAverageGDHI
E06000001,Hartlepool,406,0.99,3.74,14.14,13.72,12.21,96.81,81.02,17799.29,22184.71
E06000002,Middlesbrough,336,0.56,4.84,14.11,15.36,12,99.32,81.02,16743.97,22067.7
E06000003,Redcar and Cleveland,501,0.81,5.52,14.09,13.27,11.93,68.32,81.02,16667.53,22012.11
E06000004,Stockton-on-Tees,451,0.54,4.56,14.08,11.15,11.85,96.12,81.02,17665.83,21985.67
E06000005,Darlington,322,0.66,6.61,14.07,12.46,11.77,87.78,81.02,17755.16,21966.37
E06000006,Halton,198,0.35,4.39,14.15,12.35,12.33,97.55,81.02,17924.72,22206.84
E06000007,Warrington,552,0.61,5.03,14.09,10.19,11.84,88.62,81.02,21073.38,22013.56
E06000008,Blackburn with Darwen,1115,1.9,4.55,14.14,17.77,12.18,94.75,81.02,14771.8,22181.69
E06000009,Blackpool,225,0.35,11.13,14.15,19.47,12.32,99.8,81.02,16890.72,22211.92
E06000010,"Kingston upon Hull, City of",352,0.3,6.56,14.1,17.26,12.01,100,81.02,14968.72,22054.11
E06000011,East Riding of Yorkshire,3316,2.18,11.9,14.02,11.75,11.49,56.73,81.02,20353.38,21823.09
E06000012,North East Lincolnshire,568,0.81,5.05,14.09,15.68,11.87,90.54,81.02,17062.87,22015.59
E06000013,North Lincolnshire,1244,1.7,9.06,14.02,12.59,11.43,55.14,81.02,16905.33,21813.07
E06000014,York,1004,1.17,12.19,14.05,11.28,11.64,83.67,81.02,19966.7,21896.68
E06000015,Derby,579,0.55,5.59,14.12,14.78,12.15,100,81.02,16903.96,22108.84
E06000016,Leicester,491,0.39,14.53,14.09,17.58,11.86,99.79,81.02,13958.59,22024.53
E06000017,Rutland,353,2.11,19.18,14.06,12.05,11.74,30.17,81.02,19181.08,21942.93
E06000018,Nottingham,594,0.48,16.02,14.09,16.81,11.9,100,81.02,13698.91,22022.03
E06000019,"Herefordshire, County of",2846,3.44,27.16,14.02,15.71,11.46,44.06,81.02,20579.42,21818.07
E06000020,Telford and Wrekin,528,0.69,5.21,14.06,12.62,11.65,92.82,81.02,17380.77,21916.07
E06000021,Stoke-on-Trent,314,0.28,5.62,14.15,21.72,12.29,99.65,81.02,15764.11,22215.44
E06000022,Bath and North East Somerset,975,1.23,15.51,14.04,10.62,11.59,78.73,81.02,22143.82,21879.53
E06000023,"Bristol, City of",1811,0.95,14.86,14.11,12.12,12.02,100,81.02,20319.67,22086.15
E06000024,North Somerset,1168,1.23,13.07,14.04,8.97,11.6,81.84,81.02,22139.56,21884.17
E06000025,South Gloucestershire,1487,1.26,11.76,14.03,7.55,11.54,86.45,81.02,22172.29,21848.49
E06000026,Plymouth,295,0.26,8.58,14.1,12.58,11.96,100,81.02,17639.25,22058.07
E06000027,Torbay,270,0.43,16.78,14.13,13.25,12.1,99.36,81.02,18695.27,22131.79
E06000030,Swindon,454,0.47,10,14.12,8.68,12.05,88.78,81.02,20380.57,22104.15
E06000031,Peterborough,555,0.66,9.36,14.04,11.47,11.6,88.39,81.02,18316,21883
E06000032,Luton,316,0.4,13.01,14.16,16.18,12.33,100,81.02,17316.48,22229.32
E06000033,Southend-on-Sea,213,0.27,9.98,14.09,13.16,11.84,100,81.02,21133.58,22021.84
E06000034,Thurrock,396,0.6,13.19,14.1,10.6,11.99,86.97,81.02,19848.28,22063.96
E06000035,Medway,303,0.27,7.38,14.1,9.31,11.96,88.98,81.02,19679.16,22051.96
E06000036,Bracknell Forest,342,0.68,10.69,14.07,5.19,11.73,97.57,81.02,26760.81,21973.72
E06000037,West Berkshire,2131,3.19,22.72,14.01,6.61,11.39,62.45,81.02,26257.33,21789.81
E06000038,Reading,510,0.75,18.94,14.11,9.37,12.02,99.6,81.02,27041.51,22076.25
E06000039,Slough,140,0.27,15.67,14.15,9.36,12.24,100,81.02,27399,22206.84
E06000040,Windsor and Maidenhead,648,1.06,14.21,14.05,6.57,11.65,88.67,81.02,26570.65,21904.26
E06000041,Wokingham,720,1.04,8.01,14.05,5.3,11.64,81.33,81.02,26578.86,21907.26
E06000042,Milton Keynes,823,0.73,9.17,14.06,6.15,11.7,90.48,81.02,22101.93,21924.74
E06000043,Brighton and Hove,768,0.63,15.34,14.11,11.46,12,99.57,81.02,22669.23,22073.19
E06000044,Portsmouth,215,0.25,14.44,14.15,11.71,12.23,100,81.02,17207,22202
E06000045,Southampton,481,0.47,25.03,14.1,10.44,11.98,100,81.02,17400.66,22065.55
E06000046,Isle of Wight,1002,1.55,14.2,14.03,11.2,11.53,66.09,81.02,18761.61,21848.49
E06000047,County Durham,2918,1.24,6.11,14.01,12.03,11.38,53.3,81.02,16667.63,21786.26
E06000049,Cheshire East,2433,1.39,10.01,14.02,10.65,11.47,80.72,81.02,24845.5,21820.88
E06000050,Cheshire West and Chester,1577,1.02,10.79,14.03,11.24,11.52,72.59,81.02,22075.36,21840.63
E06000051,Shropshire,4719,3.38,21.17,14.01,14.72,11.41,43.39,81.02,20728.23,21787.14
E06000052,Cornwall,12309,4.91,30.95,14.03,13.08,11.51,38.11,81.02,20890.05,21837.35
E06000053,Isles of Scilly,27,3,100,14.13,17.11,12.11,0,81.02,22380.73,22147
E06000054,Wiltshire,5612,2.61,19.47,14.03,9.27,11.5,52.69,81.02,22753.95,21837.85
E06000055,Bedford,914,1.22,13.16,14.03,11.37,11.54,69.86,81.02,22140.15,21854.06
E06000056,Central Bedfordshire,1523,1.26,9.85,14.02,9.24,11.45,60,81.02,22124.11,21815.78
E06000057,Northumberland,3363,2.29,10.43,14.01,11.62,11.4,53.46,81.02,20368.24,21792.9
E06000058,"Bournemouth, Christchurch and Poole",1045,0.6,13.8,14.06,10.8,13.14,99.68,81.02,22701.37,21917.79
E06000059,Dorset,3924,2.32,19.94,14.03,10.24,13.26,53.47,81.02,22711.25,21827.63
E06000060,Buckinghamshire,3495,1.59,13.74,14.02,6.94,13.26,65.42,81.02,29322.8,21814.8
E06000061,North Northamptonshire,1591,1.07,8.11,14.02,12.67,13.23,68.34,81.02,19922.84,21823.04
E06000062,West Northamptonshire,2873,1.66,12.06,14.01,11.74,13.34,66.97,81.02,22018.82,21763.59
E06000063,Cumberland,1818,1.74,12.15,14.02,14.61,12.5,,,,
E06000064,Westmorland and Furness,2818,2.83,17.75,14.02,14.8,12.5,,,,
E06000065,North Yorkshire,8725,3.24,18.1,14.02,15.48,12.5,,,,
E06000066,Somerset,6810,2.77,22.99,14.02,12.3,12.5,,,,
E07000008,Cambridge,597,1.14,18.28,14.1,10.67,11.96,99.73,81.02,25688.8,22043
E07000009,East Cambridgeshire,1204,3.24,23.96,14.04,11.29,11.52,26.42,81.02,25069.69,21855.83
E07000010,Fenland,1596,3.62,13.6,14.02,12.24,11.47,77.59,81.02,24942.7,21817.45
E07000011,Huntingdonshire,1321,1.72,11.67,14.03,9.28,11.49,45.44,81.02,25014,21839
E07000012,South Cambridgeshire,2777,4.14,18.12,14.02,9.47,11.44,23.47,81.02,24916.97,21809.67
E07000032,Amber Valley,634,1.13,5.92,14.07,12.77,11.8,80.25,81.02,19699.29,21957.83
E07000033,Bolsover,369,1.05,4.2,14.11,14.62,12.1,53.25,81.02,18601.5,22081
E07000034,Chesterfield,304,0.63,3.67,14.09,13.4,11.94,98.32,81.02,18465.96,22028.39
E07000035,Derbyshire Dales,1020,3.16,15.75,14.04,14.18,11.54,21.29,81.02,19778.77,21861.17
E07000036,Erewash,433,0.86,4.21,14.07,12.2,11.76,98.14,81.02,19707.53,21947.81
E07000037,High Peak,388,0.95,7.5,14.08,12.62,11.89,67.97,81.02,19666.23,21998.03
E07000038,North East Derbyshire,497,1.08,4.84,14.06,12.04,11.7,79.88,81.02,18216.5,21931.57
E07000039,South Derbyshire,651,1.44,9.12,14.05,10.78,11.61,54.92,81.02,19757.82,21886.65
E07000040,East Devon,1662,2.49,23.18,14.03,10.71,11.49,44.32,81.02,21142.49,21834.42
E07000041,Exeter,305,0.58,17.47,14.12,11.36,12.07,99.74,81.02,21531.22,22107.89
E07000042,Mid Devon,1396,3.92,30.94,14.05,12.35,11.62,25.2,81.02,21222.71,21890.86
E07000043,North Devon,1309,3.03,16.88,14.04,12.91,11.59,45.54,81.02,21191.7,21869.04
E07000044,South Hams,1784,4.54,35.04,14.02,11.7,11.44,19.23,81.02,21106,21808.75
E07000045,Teignbridge,1151,1.92,19.33,14.03,10.71,11.52,53.94,81.02,21151.41,21840.7
E07000046,Torridge,1253,4.11,25.22,14.04,13.48,11.59,46.01,81.02,21206.13,21879.19
E07000047,West Devon,917,3.7,35.7,14.01,13.04,11.38,23.43,81.02,21079.2,21789.9
E07000061,Eastbourne,105,0.23,15.37,14.15,9.91,12.23,100,81.02,24330.88,22202
E07000062,Hastings,125,0.31,12.63,14.12,13.36,12.07,100,81.02,24196.85,22123.71
E07000063,Lewes,1018,2.33,13.76,14.03,8.4,11.47,77.64,81.02,23697.94,21832.25
E07000064,Rother,751,1.78,23.81,14.04,10.73,11.55,49.21,81.02,23740.47,21857.09
E07000065,Wealden,1791,2.62,21.45,14.02,8.67,11.44,55.25,81.02,23674.14,21818.34
E07000066,Basildon,269,0.35,9.96,14.08,9.32,11.9,99.29,81.02,22423.63,22003.77
E07000067,Braintree,757,1.16,18.8,14.05,10.92,11.6,60.89,81.02,19659.22,21885.21
E07000068,Brentwood,199,0.62,9.55,14.1,9.32,11.98,71.43,81.02,23613.89,22057.07
E07000069,Castle Point,120,0.32,8.6,14.08,10.05,11.85,100,81.02,22412.61,21996.14
E07000070,Chelmsford,897,1.19,16.51,14.02,8.6,11.46,80.81,81.02,24332.59,21821.07
E07000071,Colchester,924,1.16,16.97,14.03,10.59,11.56,71.06,81.02,19695.01,21849.85
E07000072,Epping Forest,586,1.07,14.45,14.04,9.69,11.55,72.79,81.02,26847.12,21868.63
E07000073,Harlow,72,0.19,6.89,14.11,9.74,11.93,100,81.02,27164.7,22070.48
E07000074,Maldon,1050,3.76,23.12,14.06,11.67,11.68,34.16,81.02,24038.76,21917.55
E07000075,Rochford,136,0.38,9.25,14.11,9.18,12.03,86.04,81.02,22535.25,22081
E07000076,Tendring,1556,2.31,17.33,14.04,13.97,11.53,65.12,81.02,19690.19,21854.61
E07000077,Uttlesford,1064,2.88,21.88,14.03,10.57,11.52,19.92,81.02,26816.3,21849.04
E07000078,Cheltenham,360,0.68,10.18,14.1,9.77,11.93,99.75,81.02,21518.83,22054.56
E07000079,Cotswold,1414,3.48,25.98,14.03,10.82,11.48,20.2,81.02,21858.34,21824.9
E07000080,Forest of Dean,1869,5.02,31.6,14.02,12.75,11.46,33.46,81.02,21881.01,21809.57
