authority,dominant_region,n_decided,n_refused,refusal_rate,no_decision_share
Windsor,South East,93,34,36.6,12.9
St Albans,East of England,78,23,29.5,0.7
Elmbridge,South East,114,30,26.3,2.4
East Hertfordshire,East of England,212,55,25.9,10.0
Powys,Wales,86,22,25.6,7.8
Waltham Forest,London,79,19,24.1,17.6
Carmarthenshire,Wales,84,19,22.6,8.2
Birmingham,West Midlands,73,16,21.9,8.0
Bromley,West Midlands,90,17,18.9,9.1
Sevenoaks,South East,80,15,18.8,27.7
Hounslow,London,108,19,17.6,7.4
BCP,South West,66,11,16.7,1.3
Wokingham,South East,78,13,16.7,7.7
Runnymede,South East,56,9,16.1,0.0
Hackney,London,127,20,15.7,9.6
Lewisham,London,122,19,15.6,9.2
Sheffield,North East / Yorkshire,58,9,15.5,12.2
Croydon,London,66,10,15.2,3.9
Leeds,North East / Yorkshire,226,31,13.7,4.0
Brent,London,110,15,13.6,6.5
Richmond,South East,149,20,13.4,38.3
Greenwich,London,127,17,13.4,7.5
Mole Valley,South East,53,7,13.2,0.0
Huntingdonshire,East of England,62,8,12.9,6.7
Mid Kent,South East,86,11,12.8,3.9
Swansea,Wales,110,14,12.7,5.5
Waverley,South East,111,14,12.6,0.0
Harrogate,North East / Yorkshire,135,16,11.9,8.9
Babergh Mid Suffolk,East of England,206,24,11.7,4.2
Chichester,South East,61,7,11.5,4.3
Tower Hamlets,London,85,9,10.6,9.6
Guildford,South East,123,13,10.6,8.2
Wandsworth,London,232,24,10.3,9.7
Ashford,South East,58,6,10.3,4.4
Barnet,London,145,15,10.3,12.7
Dorset,South West,304,31,10.2,2.9
Kirklees,North East / Yorkshire,59,6,10.2,10.7
Welwyn Hatfield,East of England,69,7,10.1,7.5
Lambeth,London,208,21,10.1,8.5
Stratford on Avon,West Midlands,119,12,10.1,11.0
Three Rivers,East of England,70,7,10.0,12.8
Aylesbury Vale,South East,125,12,9.6,4.8
Yorkshire Dales,North East / Yorkshire,167,16,9.6,12.1
Oxford,South East,250,23,9.2,11.3
Islington,London,245,22,9.0,10.4
Kensington,London,224,20,8.9,6.3
Gwynedd,Wales,108,9,8.3,8.3
Uttlesford,East of England,72,6,8.3,15.2
Dumfries,Scotland,397,33,8.3,16.5
Ealing,London,145,12,8.3,10.1
New Forest (Park),South East,61,5,8.2,7.8
East Cambridgeshire,East of England,51,4,7.8,5.6
Wealden,South East,116,9,7.8,5.9
Rutland,East Midlands,52,4,7.7,1.8
Cherwell,South East,104,8,7.7,6.9
Perth,Scotland,157,12,7.6,6.3
Sutton,North East / Yorkshire,53,4,7.5,30.8
Peak District,North West,94,7,7.4,4.4
Westminster,London,325,24,7.4,37.7
Tandridge,South East,55,4,7.3,0.0
South Cambridgeshire,East of England,251,18,7.2,3.0
Horsham,South East,84,6,7.1,1.1
Herefordshire,West Midlands,126,9,7.1,1.5
Chester,North West,87,6,6.9,4.2
Central Bedfordshire,East of England,90,6,6.7,0.9
Bristol,South West,182,12,6.6,5.7
Warwick,West Midlands,77,5,6.5,6.7
East Suffolk,East of England,108,7,6.5,16.8
Hammersmith and Fulham,London,170,11,6.5,23.2
Wychavon,West Midlands,62,4,6.5,0.0
Merton,London,78,5,6.4,10.6
Tunbridge Wells,South East,79,5,6.3,6.5
Edinburgh,Scotland,143,9,6.3,20.8
