start_year,total,approved,refused,withdrawn,discharge,split,pending,other,no_decision,decided,approval_rate,refusal_rate,no_decision_share
2015,923,792,39,38,13,2,0,13,26,831,95.3,4.7,2.8
2016,795,665,26,54,17,2,1,8,22,691,96.2,3.8,2.8
2017,762,632,30,40,17,1,0,9,33,662,95.5,4.5,4.3
2018,837,704,32,43,27,0,0,10,21,736,95.7,4.3,2.5
2019,1294,1085,47,76,29,1,0,27,29,1132,95.8,4.2,2.2
2020,1800,1473,69,113,35,2,1,21,86,1542,95.5,4.5,4.8
2021,3053,2448,131,202,107,5,0,38,122,2579,94.9,5.1,4.0
2022,3386,2683,182,237,93,2,8,39,142,2865,93.6,6.4,4.2
2023,4549,3397,283,339,134,9,21,46,320,3680,92.3,7.7,7.0
2024,6642,4632,493,530,222,13,12,52,688,5125,90.4,9.6,10.4
2025,5675,3525,358,263,168,19,37,61,1244,3883,90.8,9.2,21.9
2026,730,88,9,5,11,1,29,9,578,97,90.7,9.3,79.2
