raw_decision,normalised,count
(empty),no_decision,2810
Approved,approved,1549
Granted,approved,1507
Application Permitted,approved,1430
Approve,approved,1103
Grant Subject to Conditions,approved,1015
Approve with Conditions,approved,828
Withdrawn,withdrawn,717
Granted Permission,approved,590
Approval,approved,568
Approved with Conditions,approved,481
Application Approved,approved,430
Application Withdrawn,withdrawn,427
Grant Conditionally,approved,417
Application Permitted with conditions,approved,382
Grant subject to conditions,approved,338
Refuse,refused,334
Grant Permission,approved,324
Refused,refused,315
Permitted,approved,271
Grant,approved,218
Permission Granted,approved,207
Planning Permission,approved,195
Approval with Conditions,approved,185
Application Permitted with Conditions,approved,183
Permit,approved,169
Notification of Grant of Full Planning Permission.,approved,163
Approve with conditions,approved,155
Withdrawn by Applicant,withdrawn,142
Application Refused,refused,132
GRANTED subject to condition(s),approved,131
Approved with conditions,approved,130
Grant Planning Permission/Consent,approved,126
Approve the application,approved,125
Approve subject to conditions,approved,114
Grant Plan Permission w Conds,approved,112
Grant Planning Permission,approved,110
Caniatáu / Permit,approved,110
PERMIT,approved,107
Approved - Conditional,approved,106
Conditional Permission,approved,103
APPROVED WITH CONDITIONS,approved,101
Conditional Approval,approved,97
Householder Approval,approved,91
Application Permit,approved,88
Permission,approved,88
Grant with Conditions,approved,80
Conditional permission,approved,77
Grant Unconditionally,approved,77
Approve application,approved,73
Local Authority Decision,other,72
PERMISSION subject to conditions & notes,approved,72
APPROVED,approved,69
Approve No Conditions,approved,69
Granted Conditionally,approved,68
Discharge of Conditions - Grant,discharge,67
Approved subject to conditions,approved,64
Listed Building Consent,approved,63
Application Granted,approved,61
Approval with conditions,approved,59
Granted with Conditions,approved,59
Grant Permission/Consent,approved,59
Refusal,refused,59
GRANTED,approved,58
Approved With Conditions,approved,57
PENDING,pending,55
Permitted with conditions,approved,54
Application Permitted - no conditions,approved,50
Full Application - Granted,approved,50
WITHDRAWN,withdrawn,48
Withdrawn Decision,withdrawn,47
Householder - GRANTED,approved,47
Approved (with Conditions & Informatives),approved,46
Application approved,approved,45
REFUSED,refused,45
AOD - Granted,approved,43
Application Permitted (conditional),approved,43
Grant Permission subject to Conditions,approved,42
Approved conditionally,approved,42
CONDITIONAL FULL PERMISSION,approved,40
Approved (Statutory/one condition only),approved,40
Conditional approval,approved,39
Grant Subject to Condition(s),approved,39
approved subject to conditions,approved,38
Permission with Conditions,approved,38
Refuse Permission,refused,38
Grant Permission to,approved,38
DC3 Conditional Permission,approved,37
Grant permission,approved,37
Refused Permission,refused,37
Approval of details - Approved,approved,37
Permitted Development,approved,36
Approved Subject to Conditions,approved,36
Conditional Approval - Delegated,approved,35
Approved unconditional,approved,34
Condition application decided,discharge,33
Conditionally Approved,approved,33
Application permitted,approved,33
Approve subject to Conditions,approved,32
approved,approved,32
Grant with conditions,approved,32
Householder Granted,approved,31
Minor - GRANTED,approved,31
No decision Issued,other,31
PER,approved,30
Granted with conditions,approved,30
Grant conditional permission,approved,30
Approved Conditionally,approved,29
Granted/Approved - with conditions,approved,28
Approve with no conditions,approved,27
Granted Conditions,approved,27
Listed Building Consent Granted,approved,26
Application GRANTED,approved,26
Approval - standard time limit,approved,25
GRANT CONDITIONALLY,approved,25
Non Material Amendment Approved,approved,25
Full Granted,approved,25
Grant Consent - subject to conditions,approved,24
Application Withdrawn by Applicant/Agent,withdrawn,24
Pending,pending,24
Granted Subject to Conditions,approved,23
A01 Approved,approved,23
Consent Granted,approved,23
Condition Discharge Reply,discharge,23
Approved - conditions and informatives,approved,22
Granted - Extra Conditions,approved,21
Yes,approved,21
Condition Discharged/Obligation,discharge,21
Permission Refused,refused,20
Grant Conditional,approved,20
Conditional Consent,approved,20
Grant Listed Building Consent,approved,20
Refusal of permission,refused,20
Planning Permission Granted,approved,20
Variation Minor Material Changes Granted,approved,20
Confirmation of discharge of conditions,discharge,19
Fully Discharged,discharge,19
Discharge Condition in Full,discharge,19
CONSENT,approved,19
Approve Conditionally,approved,19
Refuse Planning Permission,refused,19
Approved BNG Not Required,approved,19
Granted - Standard Conditions,approved,18
Approve Conditional,approved,18
Granted With Conditions,approved,18
REFUSE,refused,18
No Objection,approved,18
Grant Discharge of Conditions,discharge,18
Discharge of Condition(s),discharge,18
Split Decision,split,17
GRANTED PERMISSION,approved,17
Grant Consent w Conds (LBC & ADV),approved,17
Approval - Full,approved,17
Permission with conditions,approved,17
Agreed,approved,17
Planning Permission GRANTED,approved,17
GRANTED CONDITIONALLY,approved,17
Permits,approved,16
APPROVED Subject to Conditions,approved,15
Agreed - for App Types VLA & VNMC,approved,15
Consent,approved,15
Grant Permission Subject to Conditions,approved,15
Certificate of Lawfulness Prop- GRANTED,approved,15
Response Issued,other,14
Withdrawn prior to determination,withdrawn,14
Approved - Section 106,approved,14
Permitted Development _App not reqd,approved,14
Withdrawn / abandoned,withdrawn,13
withdrawn,withdrawn,13
Condition/s Discharged,discharge,13
CONSENT GRANTED,approved,13
Granted Subject to a Section 106 Legal Agreement,approved,12
Discharge of Conditions Decided,discharge,12
Granted time limit plus conditions,approved,12
CONDITIONALLY APPROVED,approved,12
Determined,other,12
Refused (with Reasons),refused,12
Approval with no Conditions,approved,11
Raise No Objections,approved,11
refuse the application,refused,11
Permit Full Planning Permission,approved,11
Approved with no Conditions,approved,11
Certificate of Lawful Use or Development,approved,11
Permission not required,approved,11
Closed - advice given,withdrawn,11
Approve Discharge of Condition,discharge,11
Condition Accepted,discharge,11
Pre Application Advice Complete,other,10
Approve Unconditionally,approved,10
Determined - DIS apps,other,10
Application Withdrawn (Valid App),withdrawn,10
Allowed,approved,10
No Objections,approved,10
Grant Variation of Condition,approved,10
Planning Permission - Approved,approved,10
Approve with Conditions CIL Liable,approved,10
GRANTED WITH CONDITIONS,approved,10
Discharge of Condition Approved,discharge,10
Council's Own - GRANTED,approved,10
Withdrawn by Council,withdrawn,10
VARIED,other,9
Refusal of Planning Permission,refused,9
Refuse Planning Permission/Consent,refused,9
Listed Building Consent - GRANTED,approved,9
Non Material Amendment Refuse,refused,9
FULCC - Full Application - Conditional Consent,approved,9
Grant Conditional Permission,approved,9
Prior Approval Not Required,approved,9
PERMISSION GRANTED,approved,9
Not required,other,9
Lawful,approved,9
Conditional Planning Permission,approved,9
Raise No Objection,approved,9
Full Approval,approved,9
CLOPUD - Approval,approved,9
CONSENT subject to conditions and notes,approved,8
Lawful Development Certificate - Granted,approved,8
Listed Building Consent Approved,approved,8
Approved Unconditionally,approved,8
Discharge in Full,discharge,8
Permission Granted with Conditions,approved,8
Application Permitted (with conditions),approved,8
No objection,approved,8
Application Withdrawn (Applicant/Agent),withdrawn,8
Withdrawn/Final Disposal,withdrawn,8
Conditions Discharged,discharge,8
Permission is not required,approved,8
Grant non-material amendment to planning permission,approved,8
Non-material amendment(s) agreed,approved,8
Discharged Conditions in Full,discharge,7
GRANT PLANNING PERMISSION,approved,7
Discharge of Condition - Approved,discharge,7
Permitted with Conditions to Discharge,discharge,7
CLOPUD - Refusal,refused,7
Approve with Cond(Delegated),approved,7
Conditions Cleared,discharge,7
Variation Permitted with Conditions,approved,7
Grant Permission with Conditions,approved,7
Withdrawn Application,withdrawn,7
Approved (With Informatives),approved,7
Grant subject to condition(s),approved,7
Discharge of Conditions,discharge,7
Certify the Proposed Use / Dev as Lawful,approved,7
Householder Refused,refused,7
Partial Refusal/Partial Approval,split,7
Approval of Non Material Amendment,approved,6
Full Application Granted,approved,6
Mixed,other,6
Approve Non Material Amendment,approved,6
NMA Approved with Provisions,approved,6
Accepted,approved,6
Approved subject to Conditions,approved,6
Rejected,refused,6
Approved - Delegated,approved,6
Notification of Refusal of Planning Permission.,refused,6
Non-Material Amendment - Granted,approved,6
Complies with Condition,other,6
PERMISSION,approved,6
Withdrawn by the Applicant,withdrawn,6
Approve with conditions and legal agreement,approved,6
Approval of conditions details,approved,6
granted subject to conditions,approved,6
Non material amendment - agreed,approved,6
Part Granted/Part Refused,refused,6
Discharge - Satisfies Requirements,discharge,6
Certificate of Lawfulness BE ISSUED,approved,6
Certificate of Lawfulness Granted,approved,5
Discharge of Condition - Refused,refused,5
LAWFUL,approved,5
CL Proposed Grant,approved,5
Grant consent subject to conditions,approved,5
Approve Subject to Conditions,approved,5
Was Lawful,approved,5
Listed building consent approved,approved,5
Application Withdrawn/Declined,refused,5
Discharged,discharge,5
Non-material amendments - approved,approved,5
Consent to,approved,5
Full Permission,approved,5
Variation of Condition - Granted,approved,5
Non-Material Amendment - Refused,refused,5
Lawful Dev. Cert. Proposed Permitted,approved,5
Planning permission granted conditionally,approved,5
Application withdrawn,withdrawn,5
Condition(s) Fully Discharged,discharge,5
Grant for 3 years,approved,5
Raise Objections,refused,5
APPROVE,approved,5
CONDITIONS DISCHARGED - CONFIRMED,discharge,5
Conditional consent,approved,4
Full - Approval with Conditions,approved,4
Certificate of Lawfulness Approved,approved,4
Householder Refusal,refused,4
DC4 Refusal,refused,4
Listed Building - Granted,approved,4
Approved Grant CLU/D;Informatives,approved,4
Refuse Full Planning Permission,refused,4
Certificate - Lawful,approved,4
CONSERVATION/LBC/LBD APPROVAL,approved,4
Planning Permission Required,approved,4
Refuse permission with reasons,refused,4
Details approved,approved,4
Not Development,other,4
Discharge of Condition final letter,discharge,4
CONDITIONS APPROVED,approved,4
Grant Permission (CIL Liable),approved,4
Withdrawn application,withdrawn,4
FULLAPP (Approved),approved,4
"Granted (CAADs, PIPs and LUs only)",approved,4
Not acceptable as amendment,refused,4
Decision for Planning Conditions,other,4
Adj authority consultation response,other,4
Condition Discharged,discharge,4
Favourable with conditions,approved,4
