authority,matched_lpas,mcs_installs,planning_apps,decided_apps,coverage_pct,year_range
Cornwall,cornwall,10468,263,224,2.5,2015–2025
Highland,highland,7280,303,274,4.2,2015–2025
Ryedale,north yorkshire,7228,64,62,0.9,2015–2025
Harrogate,north yorkshire,7228,188,135,2.6,2015–2025
Craven,north yorkshire,7228,36,27,0.5,2015–2025
Richmondshire,north yorkshire,7228,33,29,0.5,2015–2025
Hambleton,north yorkshire,7228,61,54,0.8,2015–2025
Scarborough,north yorkshire,7228,14,11,0.2,2015–2025
Selby,north yorkshire,7228,29,24,0.4,2015–2025
North Yorkshire,north yorkshire,7228,7,7,0.1,2015–2025
South Somerset,somerset,5050,69,59,1.4,2015–2025
Taunton Deane,somerset,5050,28,0,0.6,2015–2025
Mendip,somerset,5050,56,45,1.1,2015–2025
West Somerset,somerset,5050,23,22,0.5,2015–2025
Sedgemoor,somerset,5050,26,22,0.5,2015–2025
Somerset,somerset,5050,1,0,0.0,2015–2025
Wiltshire,wiltshire,4464,334,276,7.5,2015–2025
Powys,powys,4091,112,84,2.7,2015–2025
Shropshire,shropshire,4021,188,165,4.7,2015–2025
Argyll,argyll and bute,3886,317,288,8.2,2015–2025
South Lanarkshire,south lanarkshire,3470,64,59,1.8,2015–2025
Dumfries,dumfries and galloway,3394,492,397,14.5,2015–2025
South Norfolk Broadland,south norfolk; broadland,3343,215,204,6.4,2015–2025
Aberdeenshire,aberdeenshire,3048,299,257,9.8,2015–2025
Dorset,dorset,3047,337,301,11.1,2015–2025
Ceredigion,ceredigion,3026,53,44,1.8,2015–2025
Carmarthenshire,carmarthenshire,2991,97,84,3.2,2015–2025
Gwynedd,gwynedd,2890,131,108,4.5,2015–2025
Babergh Mid Suffolk,babergh; mid suffolk,2829,232,204,8.2,2015–2025
Northumberland (County),northumberland,2823,157,85,5.6,2015–2025
Pembrokeshire,pembrokeshire,2775,46,41,1.7,2015–2025
East Riding,east riding of yorkshire,2772,113,105,4.1,2015–2025
Chiltern South Bucks,buckinghamshire,2712,132,99,4.9,2015–2025
Wycombe,buckinghamshire,2712,73,66,2.7,2015–2025
Aylesbury Vale,buckinghamshire,2712,147,125,5.4,2015–2025
Buckinghamshire,buckinghamshire,2712,25,5,0.9,2015–2025
Western Isles,na h-eileanan siar,2514,432,415,17.2,2015–2025
Durham,county durham,2425,117,89,4.8,2015–2025
East Lindsey,east lindsey,2400,56,41,2.3,2015–2025
Manchester,manchester,2378,136,127,5.7,2015–2025
Leeds,leeds,2362,246,225,10.4,2015–2025
Westmorland and Furness,westmorland and furness,2342,84,68,3.6,2015–2025
Barrow,westmorland and furness,2342,3,0,0.1,2015–2025
Perth,perth and kinross,2340,187,156,8.0,2015–2025
West Northamptonshire,west northamptonshire,2328,195,169,8.4,2015–2025
Anglesey,isle of anglesey,2259,146,132,6.5,2015–2025
South West Devon,south hams; west devon,2244,133,106,5.9,2015–2025
Scottish Borders,scottish borders,2227,115,96,5.2,2015–2025
Herefordshire,"herefordshire, county of",2218,130,126,5.9,2015–2025
East Suffolk,east suffolk,2212,142,108,6.4,2015–2025
Breckland,breckland,2175,56,34,2.6,2015–2025
South Cambridgeshire,south cambridgeshire,2169,295,251,13.6,2015–2025
Kings Lynn,king's lynn and west norfolk,2029,86,74,4.2,2015–2025
Denbighshire,denbighshire,1942,41,30,2.1,2015–2025
Cheshire East,cheshire east,1936,133,91,6.9,2015–2025
North Norfolk,north norfolk,1892,156,111,8.2,2015–2025
Flintshire,flintshire,1803,41,36,2.3,2015–2025
West Berkshire,west berkshire,1724,162,115,9.4,2015–2025
Bristol,"bristol, city of",1710,258,180,15.1,2015–2025
North Kesteven,north kesteven,1646,65,56,3.9,2015–2025
Calderdale,calderdale,1638,47,45,2.9,2015–2025
Sheffield,sheffield,1634,73,58,4.5,2015–2025
West Suffolk,west suffolk,1616,111,91,6.9,2015–2025
Forest of Dean,forest of dean,1602,47,38,2.9,2015–2025
Mid Kent,maidstone; tunbridge wells; swale,1551,101,86,6.5,2015–2025
Stratford on Avon,stratford-on-avon,1493,152,118,10.2,2015–2025
Allerdale,cumberland,1472,22,13,1.5,2015–2025
Carlisle,cumberland,1472,18,16,1.2,2015–2025
Copeland,cumberland,1472,6,5,0.4,2015–2025
Moray,moray,1462,40,27,2.7,2015–2025
Conwy,conwy,1443,49,39,3.4,2015–2025
South Oxfordshire,south oxfordshire,1441,218,179,15.1,2015–2025
East Devon,east devon,1419,101,95,7.1,2015–2025
Glasgow,glasgow city,1404,59,56,4.2,2015–2025
Chester,cheshire west and chester,1353,95,87,7.0,2015–2025
Wealden,wealden,1328,134,116,10.1,2015–2025
Fife,fife,1320,219,208,16.6,2015–2025
Kettering,north northamptonshire,1307,25,21,1.9,2015–2025
East Northamptonshire,north northamptonshire,1307,60,40,4.6,2015–2025
Corby,north northamptonshire,1307,5,3,0.4,2015–2025
Wellingborough,north northamptonshire,1307,21,14,1.6,2015–2025
North Northamptonshire,north northamptonshire,1307,5,2,0.4,2015–2025
Fenland,fenland,1306,22,19,1.7,2015–2025
South Gloucestershire,south gloucestershire,1269,131,104,10.3,2015–2025
South Holland,south holland,1252,14,0,1.1,2015–2025
South Kesteven,south kesteven,1230,91,76,7.4,2015–2025
West Lindsey,west lindsey,1214,48,45,4.0,2015–2025
Central Bedfordshire,central bedfordshire,1198,111,89,9.3,2015–2025
Vale of White Horse,vale of white horse,1193,141,108,11.8,2015–2025
Kirklees,kirklees,1169,70,59,6.0,2015–2025
North West Leicestershire,north west leicestershire,1166,29,25,2.5,2015–2025
Winchester,winchester,1157,78,68,6.7,2015–2025
Basingstoke,basingstoke and deane,1136,91,78,8.0,2015–2025
Cotswold,cotswold,1131,135,121,11.9,2015–2025
North Devon,north devon,1125,52,44,4.6,2015–2025
Chichester,chichester,1123,66,60,5.9,2015–2025
Mid Devon,mid devon,1115,68,52,6.1,2015–2025
West Oxfordshire,west oxfordshire,1110,134,114,12.1,2015–2025
Huntingdonshire,huntingdonshire,1083,88,65,8.1,2015–2025
Test Valley,test valley,1079,133,103,12.3,2015–2025
Newark and Sherwood,newark and sherwood,1068,57,43,5.3,2015–2025
Bassetlaw,bassetlaw,1049,29,24,2.8,2015–2025
East Cambridgeshire,east cambridgeshire,1038,68,51,6.6,2015–2025
North Lincs,north lincolnshire,1018,19,17,1.9,2015–2025
Orkney,orkney islands,1013,1213,1014,119.7,2015–2025
Blackburn,blackburn with darwen,997,23,21,2.3,2015–2025
Doncaster,doncaster,997,37,36,3.7,2015–2025
North Lanarkshire,north lanarkshire,994,20,17,2.0,2015–2025
Edinburgh,city of edinburgh,992,209,143,21.1,2015–2025
North Somerset,north somerset,974,60,55,6.2,2015–2025
Stroud,stroud,974,78,67,8.0,2015–2025
Angus,angus,952,51,46,5.4,2015–2025
Teignbridge,teignbridge,948,41,32,4.3,2015–2025
Bradford,bradford,937,76,72,8.1,2015–2025
New Forest (District),new forest,925,41,35,4.4,2015–2025
Wychavon,wychavon,925,67,60,7.2,2015–2025
Monmouthshire,monmouthshire,916,70,59,7.6,2015–2025
Guildford,guildford,909,145,123,16.0,2015–2025
Torridge,torridge,896,31,28,3.5,2015–2025
Barnsley,barnsley,889,41,36,4.6,2015–2025
Shetlands,shetland islands,876,346,333,39.5,2015–2025
Stirling,stirling,876,62,58,7.1,2015–2025
Sunderland,sunderland,866,28,18,3.2,2015–2025
BCP,"bournemouth, christchurch and poole",865,74,65,8.6,2015–2025
East Hampshire,east hampshire,863,32,19,3.7,2015–2025
Derbyshire Dales,derbyshire dales,852,54,38,6.3,2015–2025
Enfield,enfield,844,52,49,6.2,2015–2025
Horsham,horsham,838,93,84,11.1,2015–2025
York,york,832,83,73,10.0,2015–2025
Pendle,pendle,822,17,16,2.1,2015–2025
Bath,bath and north east somerset,819,146,112,17.8,2015–2025
Cherwell,cherwell,818,111,104,13.6,2015–2025
Birmingham,birmingham,814,100,73,12.3,2015–2025
Rotherham,rotherham,807,30,25,3.7,2015–2025
Maldon,maldon,800,41,31,5.1,2015–2025
Harborough,harborough,792,39,34,4.9,2015–2025
Malvern Hills,malvern hills,789,36,29,4.6,2015–2025
Uttlesford,uttlesford,783,104,72,13.3,2015–2025
Waverley,waverley,780,126,115,16.2,2015–2025
Tendring,tendring,779,28,24,3.6,2015–2025
Lewes,lewes,778,21,20,2.7,2015–2025
Wakefield,wakefield,770,52,42,6.8,2015–2025
Boston,boston,763,7,6,0.9,2015–2025
Newcastle upon Tyne,newcastle upon tyne,759,84,68,11.1,2015–2025
Swansea,swansea,749,125,109,16.7,2015–2025
Wrexham,wrexham,745,35,31,4.7,2015–2025
