application_uid,authority_name,reference,planning_decision,n_docs_used,total_chars,used_refusal_section,mentions_heat_pump,n_labels,labels
0039/16,Babergh Mid Suffolk,,Refused,9,273548,True,False,3,visual_amenity; design_scale_siting; policy_general
141112/NMC/2024,Manchester,,Refused,2,12380,False,True,9,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; trees_landscaping; flood_drainage
15/00995/DPP,Midlothian,,Refuse,8,91556,False,True,12,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; permitted_development; neighbour_amenity; policy_general; trees_landscaping; flood_drainage; biodiversity; flat_apartment
15/01182/NMA,Argyll,,Refuse,3,7260,False,True,2,noise; neighbour_amenity
15/01715/FUL,East Northamptonshire,,Application Withdrawn/Declined,1,2527,False,True,4,heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity
15/0187/LBC,Hertsmere,,Refuse Consent,1,9574,True,False,3,heritage_listed; heritage_conservation_area; policy_general
15/01963/NMA,Chichester,,REFUSE,1,9023,False,True,3,visual_amenity; design_scale_siting; trees_landscaping
15/02614/DC,Glasgow,,Refuse,1,6270,False,True,6,visual_amenity; heritage_listed; heritage_conservation_area; design_scale_siting; biodiversity; flat_apartment
15/04548/NMA,Barnet,,Refuse,2,9700,False,True,5,visual_amenity; design_scale_siting; neighbour_amenity; policy_general; flat_apartment
15/070/PP,Orkney,,Application Refused,2,11981,True,False,3,neighbour_amenity; policy_general; flood_drainage
15/1682/FUL,Hertsmere,,Refuse Permission,1,35612,True,False,1,design_scale_siting
15/586/PP,Orkney,,Application Refused,2,10906,True,False,1,policy_general
15/B2299/NON,Aylesbury Vale,,Non-material amendments - refused,2,9419,False,True,5,visual_amenity; design_scale_siting; permitted_development; policy_general; flat_apartment
150283,Colchester,,Refuse,1,4390,False,True,4,noise; design_scale_siting; neighbour_amenity; policy_general
16/00432/S192,Brentwood,,Application Refused,1,3434,False,True,1,permitted_development
16/00460/FUL,West Oxfordshire,,Refuse,1,3292,True,True,3,heritage_listed; heritage_conservation_area; policy_general
16/00463/LBC,West Oxfordshire,,Refuse,1,1771,True,True,3,heritage_listed; design_scale_siting; policy_general
16/01796/FUL,Sevenoaks,,Refused,2,29522,True,False,3,visual_amenity; policy_general; greenbelt
16/018/PP,Orkney,,Application Refused,2,29018,True,False,2,neighbour_amenity; policy_general
16/02627/NMMA,Hart,,Refuse,2,13590,True,False,0,
16/02911/FUL,Sevenoaks,,Refused,2,28880,True,False,3,visual_amenity; policy_general; greenbelt
16/11966/FULL,Westminster,,Application Refused,2,21619,True,False,2,visual_amenity; heritage_conservation_area
16/1668,Brent,,Refuse Planning Permission,2,11826,False,True,8,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general; flat_apartment
16/1968/FUL,Hertsmere,,Refuse Permission,1,42114,True,False,4,noise; neighbour_amenity; policy_general; highways
16/560/PP,Orkney,,Application Refused,2,17098,True,False,0,
17/01434,Dover,,Refuse Planning Permission,12,826406,True,False,3,design_scale_siting; policy_general; biodiversity
17/01463/FUL,Stratford on Avon,,Refusal of Planning Permission,1,55211,True,False,0,
17/02029/FUL,Edinburgh,,Refused,3,18796,True,False,3,visual_amenity; design_scale_siting; policy_general
17/02566/FULLS,Test Valley,,REFUSE,1,19173,False,True,7,visual_amenity; noise; heritage_listed; heritage_conservation_area; design_scale_siting; neighbour_amenity; policy_general
17/02592/NONMAT,Northumberland (County),,Application Refused,2,11657,True,True,4,visual_amenity; noise; design_scale_siting; policy_general
17/02978/CLE,Edinburgh,,Refused,2,9705,False,True,6,visual_amenity; noise; heritage_listed; heritage_conservation_area; permitted_development; flat_apartment
17/04496/FUL,Croydon,,Permission Refused,2,11416,True,True,3,noise; design_scale_siting; neighbour_amenity
17/093/PP,Orkney,,Application Refused,2,16135,True,False,1,policy_general
