sample_bucket,uid,reference,authority_name,start_date,description,planning_application_status,planning_decision,portal_type,documentation_url,planit_link
idox_docs,210066/DPP,,Aberdeen,2021-01-20,Installation of air-source heat pump to side (retrospective),Permitted,Approve Unconditionally,idox,https://publicaccess.aberdeencity.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=QN6XXKBZG2K00,https://www.planit.org.uk/planapplic/Aberdeen/210066/DPP/
idox_docs,211136/DPP,,Aberdeen,2021-08-09,Installation of 2 air source heat pumps,Permitted,Approve Unconditionally,idox,https://publicaccess.aberdeencity.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=QXEUCIBZMG000,https://www.planit.org.uk/planapplic/Aberdeen/211136/DPP/
idox_docs,APP/2021/0089,,Aberdeenshire,2021-01-20,"Erection of Dwellinghouse and Detached Garage, Installation of Air Source Heat Pump and Formation of Access (Renewal of Planning Permission Reference Number APP/2017/2969)",Permitted,Approved,idox,https://upa.aberdeenshire.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=QN8IUFCALS900,https://www.planit.org.uk/planapplic/Aberdeenshire/APP/2021/0089/
idox_docs,APP/2021/0152,,Aberdeenshire,2021-01-27,Erection of Dwellinghouse and Installation of Air Source Heat Pump,Withdrawn,Withdrawn,idox,https://upa.aberdeenshire.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=QNLBZWCAM9K00,https://www.planit.org.uk/planapplic/Aberdeenshire/APP/2021/0152/
idox_docs,APP/2021/0275,,Aberdeenshire,2021-02-09,Alterations and Extension to Dwellinghouse including Installation of Air Source Heat Pump,Permitted,Approved,idox,https://upa.aberdeenshire.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=QO93IYCAN5700,https://www.planit.org.uk/planapplic/Aberdeenshire/APP/2021/0275/
idox_docs,APP/2021/0290,,Aberdeenshire,2021-02-10,Erection of Dwellinghouse and Installation of Air Source Heat Pump,Permitted,Approved,idox,https://upa.aberdeenshire.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=QOBOKCCAFKL00,https://www.planit.org.uk/planapplic/Aberdeenshire/APP/2021/0290/
idox_docs,APP/2021/0305,,Aberdeenshire,2021-02-12,Erection of Dwellinghouse and Installation of Air Source Heat Pump (Change of House Type to Planning Permission Reference APP/2018/1978),Permitted,Approved,idox,https://upa.aberdeenshire.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=QOEYNMCAFP300,https://www.planit.org.uk/planapplic/Aberdeenshire/APP/2021/0305/
idox_docs,APP/2021/0332,,Aberdeenshire,2021-02-16,"Alterations and Extension to Museum, Installation of Temporary Exhibits and Installation of 2 Air Source Heat Pumps",Permitted,Approved,idox,https://upa.aberdeenshire.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=QOMJXDCA04U00,https://www.planit.org.uk/planapplic/Aberdeenshire/APP/2021/0332/
idox_docs,APP/2021/0453,,Aberdeenshire,2021-03-03,Erection of Dwellinghouse including Installation of Air Source Heat Pumps,Permitted,Approved,idox,https://upa.aberdeenshire.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=QPE82OCAGTD00,https://www.planit.org.uk/planapplic/Aberdeenshire/APP/2021/0453/
idox_docs,APP/2021/0636,,Aberdeenshire,2021-03-19,Conversion and Alterations of 2 Flats to form 3 Flats Installation Solar Panels and Air Source Heat Pump,Permitted,Approved,idox,https://upa.aberdeenshire.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=QQ80BLCAI1Z00,https://www.planit.org.uk/planapplic/Aberdeenshire/APP/2021/0636/
idox_docs,APP/2021/0634,,Aberdeenshire,2021-03-19,"Conversion and Alterations of 2 Flats to form 3 Flats, Internal Alterations, Installation Solar Panels and Air Source Heat Pump",Permitted,Approved,idox,https://upa.aberdeenshire.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=QQ80B7CAI1R00,https://www.planit.org.uk/planapplic/Aberdeenshire/APP/2021/0634/
idox_docs,APP/2021/1103,,Aberdeenshire,2021-05-12,Erection of Dwellinghouse and Installation of Air Source Heat Pump,Permitted,Approved,idox,https://upa.aberdeenshire.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=QSZGTTCAM8E00,https://www.planit.org.uk/planapplic/Aberdeenshire/APP/2021/1103/
idox_docs,APP/2021/1199,,Aberdeenshire,2021-05-21,Installation of 2 Air Source Heat Pumps,Permitted,Approved,idox,https://upa.aberdeenshire.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=QTGFZQCAFIJ00,https://www.planit.org.uk/planapplic/Aberdeenshire/APP/2021/1199/
idox_docs,APP/2021/1373,,Aberdeenshire,2021-06-10,Change of Use of Land to Domestic Garden Ground and Alterations and Extension to Bothy to form Ancillary Accommodation and Installation of Air Source Heat Pump,Permitted,Approved,idox,https://upa.aberdeenshire.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=QUHBQDCAHKQ00,https://www.planit.org.uk/planapplic/Aberdeenshire/APP/2021/1373/
idox_docs,APP/2021/1374,,Aberdeenshire,2021-06-10,Alterations and Extension to Dwellinghouse and Installation of Air Source Heat Pump,Permitted,Approved,idox,https://upa.aberdeenshire.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=QUHBQICAHKT00,https://www.planit.org.uk/planapplic/Aberdeenshire/APP/2021/1374/
idox_no_docs,DC/21/03263,,Babergh Mid Suffolk,2021-06-07,Application for a Lawful Development Certificate for a Proposed Use or Development: Town and Country Planning Act 1990: Section 192 as amended by Section 10 of The Planning and Compensation Act 1991: Town and Country Planning (General Management Procedure)(England) Order 2015 - Conversion of and extension to garage to provide additional living accommodation. Installation of external air source heat pump.,Permitted,Was Lawful,idox,,https://www.planit.org.uk/planapplic/BaberghMidSuffolk/DC/21/03263/
idox_no_docs,LA04/2021/1565/F,,Belfast,2021-06-21,Proposed fenced area to contain Air-Source heat pump condensing units to serve the heating and cooling requirements of the adjacent bowling centre.,Permitted,Granted,idox,,https://www.planit.org.uk/planapplic/Belfast/LA04/2021/1565/F/
idox_no_docs,21/00467/FUL,,Bradford,2021-02-09,Installation of two air-source heat pumps with security cages to rear of clubhouse,Permitted,Granted,idox,,https://www.planit.org.uk/planapplic/Bradford/21/00467/FUL/
idox_no_docs,21/02924/F,,Cherwell,2021-08-25,"Removal of existing biomass equipment, installation of air source heat pump and car port PV panels",Undecided,,idox,,https://www.planit.org.uk/planapplic/Cherwell/21/02924/F/
idox_no_docs,21/02924/CDC,,Cherwell,2021-08-25,"Removal of existing biomass equipment, installation of air source heat pump and car port PV panels",Permitted,Permitted,idox,,https://www.planit.org.uk/planapplic/Cherwell/21/02924/CDC/
northgate,2021/0846,,Barnsley,2021-06-16,Installation of 2no. air source heat pumps (Lawful development certificate for a proposed form of development),Permitted,Lawful Development Certificate - Granted,northgate,https://planningexplorer.barnsley.gov.uk/Home/ApplicationDetails?planningApplicationNumber=2021%2F0846#documents,https://www.planit.org.uk/planapplic/Barnsley/2021/0846/
northgate,2021/0847,,Barnsley,2021-06-16,Installation of an three air source heat pumps (Lawful development certificate for a proposed form of development),Permitted,Lawful Development Certificate - Granted,northgate,https://planningexplorer.barnsley.gov.uk/Home/ApplicationDetails?planningApplicationNumber=2021%2F0847#documents,https://www.planit.org.uk/planapplic/Barnsley/2021/0847/
northgate,2021/0843,,Barnsley,2021-06-16,Installation of 2no. air source heat pumps (Lawful development certificate for a proposed form of development),Permitted,Lawful Development Certificate - Granted,northgate,https://planningexplorer.barnsley.gov.uk/Home/ApplicationDetails?planningApplicationNumber=2021%2F0843#documents,https://www.planit.org.uk/planapplic/Barnsley/2021/0843/
northgate,2021/0845,,Barnsley,2021-06-16,Lawful development certificate for proposed development of 3 no. air source heat pumps,Permitted,Lawful Development Certificate - Granted,northgate,https://planningexplorer.barnsley.gov.uk/Home/ApplicationDetails?planningApplicationNumber=2021%2F0845#documents,https://www.planit.org.uk/planapplic/Barnsley/2021/0845/
northgate,2021/0863,,Barnsley,2021-06-18,Installation of 2no air source heat pumps (Lawful development certificate for a proposed form of development),Permitted,Lawful Development Certificate - Granted,northgate,https://planningexplorer.barnsley.gov.uk/Home/ApplicationDetails?planningApplicationNumber=2021%2F0863#documents,https://www.planit.org.uk/planapplic/Barnsley/2021/0863/
northgate,2021/0914,,Barnsley,2021-06-29,Installation of roof top Solar Photovoltaic panels and 3no. air source heat pumps,Conditions,Approve with Conditions,northgate,https://planningexplorer.barnsley.gov.uk/Home/ApplicationDetails?planningApplicationNumber=2021%2F0914#documents,https://www.planit.org.uk/planapplic/Barnsley/2021/0914/
northgate,2021/0919,,Barnsley,2021-06-29,Installation of roof top Solar Photovoltaic panels and 3no. air source heat pumps (Listed Building Consent),Conditions,Approve with Conditions,northgate,https://planningexplorer.barnsley.gov.uk/Home/ApplicationDetails?planningApplicationNumber=2021%2F0919#documents,https://www.planit.org.uk/planapplic/Barnsley/2021/0919/
northgate,2021/1170,,Barnsley,2021-08-26,Installation of 2no. air source heat pumps (Lawful development certificate for a proposed form of development),Permitted,Lawful Development Certificate - Granted,northgate,https://planningexplorer.barnsley.gov.uk/Home/ApplicationDetails?planningApplicationNumber=2021%2F1170#documents,https://www.planit.org.uk/planapplic/Barnsley/2021/1170/
other_docs,V/2021/0233,,Ashfield,2021-03-26,Application to vary condition 6 of planning permission v/2018/0044 to permit air source heat pumps to be positioned on external elevation of the building,Conditions,FULCC - Full Application - Conditional Consent,other,https://www2.ashfield.gov.uk/cfusion/Planning/plan_view_docs.cfm?reference=<cfifisdefined(,https://www.planit.org.uk/planapplic/Ashfield/V/2021/0233/
other_docs,21/00710/FUL,,Bath,2021-02-17,Addition of air source heat pump to provide renewable heating to home.,Permitted,PERMIT,other,https://www.bathnes.gov.uk/planningdocuments=21%2F00710%2FFUL,https://www.planit.org.uk/planapplic/Bath/21/00710/FUL/
other_docs,21/01592/FUL,,Bath,2021-03-31,"Construction of new swimming pool, pool pump and storage cupboards, new air source heat pump, extension of rear paved area and adjacent stone retaining walls.",Permitted,PERMIT,other,https://www.bathnes.gov.uk/planningdocuments=21%2F01592%2FFUL,https://www.planit.org.uk/planapplic/Bath/21/01592/FUL/
other_docs,21/01593/LBA,,Bath,2021-03-31,"External alterations to include construction of new swimming pool, pool pump and storage cupboards, new air source heat pump, extension of rear paved area and adjacent stone retaining walls.",Permitted,CONSENT,other,https://www.bathnes.gov.uk/planningdocuments=21%2F01593%2FLBA,https://www.planit.org.uk/planapplic/Bath/21/01593/LBA/
